#chan dettype isTr cal0 cal1 rangemin rangemax
0 1 1 0.346573 0.219227 0 32768
1 1 1 0.34546 0.614432 0 32768
2 1 1 0.326385 0.563171 0 32768
3 1 1 0.347444 0.49515 0 32768
4 1 1 0.332395 0.361514 0 32768
5 1 1 0.335858 0.256199 0 32768
6 1 1 0.356753 0.552052 0 32768
7 1 1 0.329966 0.650056 0 32768
8 1 1 1 0 0 32768
9 1 1 0.33589 0.723083 0 32768
10 1 1 0.316866 5.95424 0 32768
11 1 1 0.33769 0.230423 0 32768
12 1 1 0.320996 0.418117 0 32768
13 1 1 1 0 0 32768
14 1 1 0.317357 0.341482 0 32768
15 1 1 1 0 0 32768
16 1 1 1 0 0 32768
17 1 1 0.335663 0.384949 0 32768
18 1 1 1 0 0 32768
19 1 1 0.326617 0.711352 0 32768
20 1 1 1 0 0 32768
21 1 1 1 0 0 32768
22 1 1 0.339121 0.480986 0 32768
23 1 1 0.326211 0.609798 0 32768
24 1 1 0.339769 0.581814 0 32768
25 1 1 0.334616 0.586613 0 32768
26 1 1 1 0 0 32768
27 1 1 0.330639 0.623381 0 32768
28 1 1 0.325077 0.301591 0 32768
29 1 1 0.338537 0.363343 0 32768
30 1 1 0.336776 0.647811 0 32768
31 1 1 0.328645 0.501324 0 32768
32 1 1 0.334822 8.53008 0 32768
33 1 1 0.327306 64.2329 0 32768
34 1 1 0.312213 64.0975 0 32768
35 1 1 1 0 0 32768
36 1 1 0.297661 142.852 0 32768
37 1 1 0.381311 57.7349 0 32768
38 1 1 0.309477 112.303 0 32768
39 1 1 0.275187 182.903 0 32768
40 1 1 1 0 0 32768
41 1 1 1 0 0 32768
42 1 1 1 0 0 32768
43 1 1 1 0 0 32768
44 1 1 1 0 0 32768
45 1 1 1 0 0 32768
46 1 1 1 0 0 32768
47 1 1 1 0 0 32768
48 1 1 0.316796 0.783633 0 32768
49 1 1 0.328263 0.326633 0 32768
50 1 1 0.314751 0.528477 0 32768
51 1 1 0.319174 0.214858 0 32768
52 1 1 0.316353 0.0680158 0 32768
53 1 1 0.326993 0.273545 0 32768
54 1 1 0.323581 1.05369 0 32768
55 1 1 0.326709 -0.339386 0 32768
56 1 1 0.332069 0.392226 0 32768
57 1 1 0.338163 0.506277 0 32768
58 1 1 0.314497 0.67419 0 32768
59 1 1 0.324277 0.628829 0 32768
60 1 1 0.323603 0.492858 0 32768
61 1 1 0.334825 0.681036 0 32768
62 1 1 0.328005 0.438967 0 32768
63 1 1 1 0 0 32768
64 1 1 0.336265 0.344863 0 32768
65 1 1 0.3449 -0.192283 0 32768
66 1 1 0.348051 0.064139 0 32768
67 1 1 0.337628 -0.219038 0 32768
68 1 1 1 0 0 32768
69 1 1 1 0 0 32768
70 1 1 1 0 0 32768
71 1 1 1 0 0 32768
72 1 1 0.339341 -0.258125 0 32768
73 1 1 0.342191 -0.503007 0 32768
74 1 1 0.337505 0.0921977 0 32768
75 1 1 0.328143 -0.466302 0 32768
76 1 1 1 0 0 32768
77 1 1 1 0 0 32768
78 1 1 1 0 0 32768
79 1 1 1 0 0 32768
80 1 1 1 0 0 32768
81 1 1 0.323445 -1.13013 0 32768
82 1 1 0.320001 -0.576964 0 32768
83 1 1 0.31478 -0.315457 0 32768
84 1 1 0.342639 -0.190804 0 32768
85 1 1 0.3316 0.682154 0 32768
86 1 1 0.307929 -0.538535 0 32768
87 1 1 0.311412 -0.00450799 0 32768
88 1 1 0.354028 0.128577 0 32768
89 1 1 0.324903 0.104256 0 32768
90 1 1 0.342708 -0.413147 0 32768
91 1 1 0.340833 0.159483 0 32768
92 1 1 0.321576 -0.0642333 0 32768
93 1 1 1 0 0 32768
94 1 1 1 0 0 32768
95 1 1 1 0 0 32768
