#chan dettype isTr cal0 cal1 rangemin rangemax
0 1 1 0.346228 1.51982 0 32768
1 1 1 0.345437 0.478862 0 32768
2 1 1 0.326319 0.413367 0 32768
3 1 1 0.34725 0.966209 0 32768
4 1 1 0.332235 0.752735 0 32768
5 1 1 0.33558 1.06563 0 32768
6 1 1 0.356667 0.566606 0 32768
7 1 1 0.329889 0.674227 0 32768
8 1 -1 0.329074 89.5222 0 32768
9 1 1 0.335937 0.259433 0 32768
10 1 -1 0.318425 2.67651 0 32768
11 1 1 0.337437 1.03971 0 32768
12 1 1 0.320877 0.635134 0 32768
13 1 -1 0.329074 89.5222 0 32768
14 1 1 0.317351 -0.00697585 0 32768
15 1 -1 0.329074 89.5222 0 32768
16 1 -1 0.329074 89.5222 0 32768
17 1 1 0.335621 0.386301 0 32768
18 1 -1 0.329074 89.5222 0 32768
19 1 1 0.326597 0.110533 0 32768
20 1 -1 0.329074 89.5222 0 32768
21 1 -1 0.329074 89.5222 0 32768
22 1 1 0.338989 0.619713 0 32768
23 1 1 0.326135 0.202649 0 32768
24 1 1 0.339684 1.04481 0 32768
25 1 1 0.334646 0.182146 0 32768
26 1 -1 0.329074 89.5222 0 32768
27 1 1 0.330553 0.659595 0 32768
28 1 1 0.325042 0.279306 0 32768
29 1 1 0.338559 -0.230411 0 32768
30 1 1 0.336664 1.04079 0 32768
31 1 1 0.328615 0.481356 0 32768
32 -1 1 0.272921 1034.76 0 32768
33 -1 1 0.323666 757.823 0 32768
34 -1 1 0.232674 1177.78 0 32768
35 1 -1 0.329074 89.5222 0 32768
36 -1 1 0.251778 1012.36 0 32768
37 -1 1 0.275832 443.033 0 32768
38 -1 1 0.247628 983.162 0 32768
39 -1 1 0.244195 931.354 0 32768
40 1 1 0.329074 89.5222 0 32768
41 1 1 0.329074 89.5222 0 32768
42 1 1 0.329074 89.5222 0 32768
43 1 1 0.329074 89.5222 0 32768
44 1 1 0.329074 89.5222 0 32768
45 1 1 0.329074 89.5222 0 32768
46 1 1 0.329074 89.5222 0 32768
47 1 1 0.329074 89.5222 0 32768
48 1 1 0.316547 1.64651 0 32768
49 1 1 0.327767 1.93034 0 32768
50 1 1 0.314403 0.610306 0 32768
51 1 1 0.318739 1.99662 0 32768
52 1 1 0.315912 1.13616 0 32768
53 1 1 0.326655 1.48249 0 32768
54 1 1 0.323058 4.35938 0 32768
55 1 1 0.326048 1.7354 0 32768
56 1 1 0.331913 1.21268 0 32768
57 1 1 0.338157 0.24991 0 32768
58 1 1 0.314541 -0.105021 0 32768
59 1 1 0.324136 1.28404 0 32768
60 1 1 0.323633 0.174744 0 32768
61 1 1 0.334765 0.833847 0 32768
62 1 1 0.327883 1.23657 0 32768
63 1 -1 0.329074 89.5222 0 32768
64 1 1 0.335863 1.42122 0 32768
65 1 1 0.344288 2.18093 0 32768
66 1 1 0.347662 1.3959 0 32768
67 1 1 0.337081 2.23863 0 32768
68 1 -1 0.329074 89.5222 0 32768
69 1 -1 0.329074 89.5222 0 32768
70 1 -1 0.329074 89.5222 0 32768
71 1 -1 0.329074 89.5222 0 32768
72 1 1 0.33882 2.09145 0 32768
73 1 1 0.341589 1.33833 0 32768
74 1 1 0.337123 1.38906 0 32768
75 1 1 0.327555 1.47572 0 32768
76 1 -1 0.329074 89.5222 0 32768
77 1 -1 0.329074 89.5222 0 32768
78 1 -1 0.329074 89.5222 0 32768
79 1 -1 0.329074 89.5222 0 32768
80 1 -1 0.329074 89.5222 0 32768
81 1 -1 0.317283 32.1899 0 32768
82 1 1 0.319395 1.95289 0 32768
83 1 1 0.314438 1.66481 0 32768
84 1 1 0.342157 1.79 0 32768
85 1 1 0.331267 1.24562 0 32768
86 1 1 0.307282 2.38993 0 32768
87 1 1 0.310937 2.32749 0 32768
88 1 1 0.353489 2.60022 0 32768
89 1 1 0.324509 0.604734 0 32768
90 1 1 0.342046 1.31182 0 32768
91 1 1 0.340414 1.44418 0 32768
92 1 1 0.321192 1.61049 0 32768
