 Geometry and detector configuration
# -1 marks unspecified detectors
# index clov cryst
0 0 0
1 0 1
2 0 2
3 0 3
4 1 0
5 1 1
6 1 2
7 1 3
8 -1 -1
9 2 1
10 -1 -1
11 2 3
12 3 0
13 -1 -1
14 3 2
15 3 3
16 -1 -1
17 4 1
18 -1 -1
19 4 3
20 -1 -1
21 -1 -1
22 5 2
23 5 3
24 6 0
25 6 1
26 -1 -1
27 6 3
28 7 0
29 7 1
30 7 2
31 7 3
32 -1 -1
33 -1 -1
34 -1 -1
35 -1 -1
36 -1 -1
37 -1 -1
38 -1 -1
39 -1 -1
40 -1 -1
41 -1 -1
42 -1 -1
43 -1 -1
44 -1 -1
45 -1 -1
46 -1 -1
47 -1 -1
48 8 0
49 8 1
50 8 2
51 8 3
52 9 0
53 9 1
54 9 2
55 9 3
56 4 0
57 5 0
58 3 1
59 4 2
60 2 0
61 6 2
62 5 1
63 2 2
64 10 0
65 10 1
66 10 2
67 10 3
68 11 0
69 11 1
70 11 2
71 11 3
72 12 0
73 12 1
74 12 2
75 12 3
76 -1 -1
77 -1 -1
78 -1 -1
79 -1 -1
80 -1 -1
81 13 1
82 13 2
83 13 3
84 14 0
85 14 1
86 14 2
87 14 3
88 15 0
89 15 1
90 15 2
91 15 3
92 13 0
