# peak information taken from https://www-nds.iaea.org/xgamma_standards/
peakE,  peakE_err, decayProb, decayProb_err
121.7817, 0.0003, 0.2841, 0.0013
244.6974, 0.0008, 0.0755, 0.0755
344.2785, 0.0012, 0.2658, 0.0012
411.1165, 0.0012, 0.02237, 0.00010
443.965, 0.003, 0.03125, 0.00014
778.9045, 0.0024, 0.1296, 0.0006
867.380, 0.003, 0.04241, 0.00023
964.072, 0.018, 0.1462, 0.0006
1085.837, 0.010, 0.1013, 0.0006
1089.737, 0.005, 0.01731, 0.00010
1112.076, 0.003, 0.1340, 0.0006
1212.948, 0.011, 0.01415, 0.00009
1299.142, 0.008, 0.01632, 0.00009
1408.013, 0.003, 0.2085, 0.0009

